City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,lata,40.1629,-8.3327,16.88,81,100,1.35,PT,1686514022
242,shizunai-furukawacho,42.3339,142.3669,14.9,95,100,2.5,JP,1686514022
243,atherton,53.5237,-2.4935,21.53,79,100,2.05,GB,1686514022
244,codrington,-38.2667,141.9667,8.41,77,94,5.47,AU,1686514022
245,chistyye bory,58.3647,41.6278,6.2,72,7,1.49,RU,1686514022
246,gidam,18.9833,81.4,26.74,61,81,0.82,IN,1686514022
247,st. john's,47.5649,-52.7093,7.66,94,100,9.77,CA,1686513620
248,al burayqah,30.4062,19.5739,25.0,63,10,7.98,LY,1686514022
249,namdrik,5.5994,168.1028,28.15,81,100,8.91,MH,1686514023
250,wellington,-41.2866,174.7756,8.81,96,66,1.54,NZ,1686514023
251,praia da vitoria,38.7333,-27.0667,18.73,74,70,2.8,PT,1686514004
252,pitimbu,-7.4706,-34.8086,24.33,87,40,4.94,BR,1686514023
253,minas de marcona,-15.2119,-75.1103,15.86,65,15,8.56,PE,1686514023
254,suntar,62.1444,117.6319,7.89,59,84,3.4,RU,1686514023
255,bocas del toro,9.3333,-82.25,30.06,73,99,3.13,PA,1686514023
256,haiku-pauwela,20.9219,-156.3051,29.01,45,20,7.72,US,1686513982
257,taro,-8.3862,115.28,23.0,94,71,0.5,ID,1686514023
258,bereeda,11.8704,51.0579,31.57,59,85,2.47,SO,1686514024
259,mata-utu,-13.2816,-176.1745,28.57,76,76,7.82,WF,1686514024
260,kolonia,50.9333,6.95,26.01,43,0,2.06,DE,1686513859
261,pali,25.7667,73.3333,33.09,42,3,9.08,IN,1686514024
262,galliano,29.4422,-90.2992,34.44,58,40,5.14,US,1686513866
263,cockburn town,21.4612,-71.1419,28.2,82,4,6.46,TC,1686514024
264,tsiombe,-25.3,45.4833,17.77,86,0,1.52,MG,1686514024
265,laguna,38.421,-121.4238,29.06,52,0,5.66,US,1686513901
266,yeppoon,-23.1333,150.7333,15.88,92,50,3.91,AU,1686514024
267,kingston,17.997,-76.7936,32.36,71,20,9.26,JM,1686513854
268,nagqu,31.5,92.0,2.49,83,39,2.02,CN,1686513426
269,novoishimskiy,53.1981,66.7694,15.49,82,96,3.07,KZ,1686514025
270,roma,43.2128,-75.4557,28.94,42,0,3.6,US,1686514025
271,liaoyuan,42.9036,125.1358,12.39,92,100,1.66,CN,1686514025
272,garoowe,8.4054,48.4845,30.75,36,100,9.75,SO,1686513919
273,brisas de zicatela,15.8369,-97.0419,32.29,62,20,2.57,MX,1686514016
274,chigorodo,7.6664,-76.6811,32.05,63,44,1.28,CO,1686514025
275,prince rupert,54.3161,-130.3201,13.05,82,40,3.09,CA,1686514025
276,sulakyurt,40.1573,33.716,16.05,90,100,1.46,TR,1686514025
277,bilibino,68.0546,166.4372,14.61,68,100,3.1,RU,1686513949
278,kindu,-2.95,25.95,23.28,77,100,0.63,CD,1686514026
279,carora,10.1755,-70.0827,34.68,34,100,7.19,VE,1686514026
280,portales,34.1862,-103.3344,30.01,35,8,2.25,US,1686514026
281,lazaro cardenas,17.9583,-102.2,31.06,54,0,4.98,MX,1686513897
